products,Topic0,Topic1,Topic2,dominant_topic,topic_words
/Acer-A115-31-Processor-Windows-Renewed/product-reviews/B086JG8PRV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.03,0.94,0.03,1,"['screen', 'use', 'fast', 'laptop', 'nice', 'good', 'notebook', 'bright', 'windows', 'decided']"
/Acer-A4-9120e-Graphics-Manufacturer-Warranty/product-reviews/B08LBX8QVX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.97,0.02,0.02,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Acer-Aspire-i5-1035G1-15-6-Inch-Laptop/product-reviews/B08FNZHZJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.08,0.83,0.08,1,"['screen', 'use', 'fast', 'laptop', 'nice', 'good', 'notebook', 'bright', 'windows', 'decided']"
/Acer-Chromebook-Convertible-Bluetooth-CP311-2H-C679/product-reviews/B086MBQKH2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.01,0.01,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Acer-Chromebook-Processor-BLUETOOTH-Manufacturer/product-reviews/B08GH8VX8Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.98,0.01,0.01,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Acer-Chromebook-Screen-Chrome-CB311-9H-C29L/product-reviews/B0886W3LTR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.0,0.0,1.0,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
/Acer-Ci5-1035G1-Windows-Charcoal-A515-55-582M/product-reviews/B0886YBT6H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0,0.0,0.0,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Acer-Convertible-Ci7-1065G7-Windows-SP513-54N-74V2/product-reviews/B086KJCJDM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.99,0.0,0.0,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Acer-Display-Graphics-Keyboard-A515-43-R19L/product-reviews/B07RF1XD36/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.95,0.02,0.03,0,"['laptop', 'computer', 'use', 'work', 'dont', 'great', 'small', 'drive', 'keyboard', 'ram']"
/Acer-Nitro-9300H-Windows-AN515-54-5812/product-reviews/B086KJBKDW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,0.0,0.0,0.99,2,"['laptop', 'good', 'great', 'chromebook', 'time', 'use', 'screen', 'battery', 'like', 'work']"
